IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.229.22,80,80,false,SIN,Asia Pacific,Singapore,6,0.00
8.219.126.3,2086,2086,false,SIN,Asia Pacific,Singapore,6,0.00
8.222.152.165,2086,2086,false,SIN,Asia Pacific,Singapore,7,0.00
47.245.93.74,2095,2095,false,SIN,Asia Pacific,Singapore,7,0.00
8.219.73.188,2095,2095,false,SIN,Asia Pacific,Singapore,7,0.00
8.219.74.35,2095,2095,false,SIN,Asia Pacific,Singapore,7,0.00
8.222.171.223,8880,8880,false,SIN,Asia Pacific,Singapore,7,0.00
8.219.40.37,2095,2095,false,SIN,Asia Pacific,Singapore,7,0.00
8.219.93.5,2052,2052,false,SIN,Asia Pacific,Singapore,7,0.00
8.219.240.160,2096,2096,true,SIN,Asia Pacific,Singapore,7,0.00
8.219.186.22,2096,2096,true,SIN,Asia Pacific,Singapore,7,0.00
47.245.80.39,2086,2086,false,SIN,Asia Pacific,Singapore,7,0.00
8.222.137.166,2086,2086,false,SIN,Asia Pacific,Singapore,7,0.00
8.222.209.223,80,80,false,SIN,Asia Pacific,Singapore,7,0.00
8.219.12.152,8880,8880,false,SIN,Asia Pacific,Singapore,7,0.00
8.219.228.88,80,80,false,SIN,Asia Pacific,Singapore,7,0.00
8.222.164.209,8080,8080,false,SIN,Asia Pacific,Singapore,7,0.00
8.219.79.74,80,80,false,SIN,Asia Pacific,Singapore,7,0.00
8.219.206.53,2053,2053,true,SIN,Asia Pacific,Singapore,7,0.00
8.222.197.251,2095,2095,false,SIN,Asia Pacific,Singapore,7,0.00
8.222.159.252,2052,2052,false,SIN,Asia Pacific,Singapore,8,0.00
8.219.139.13,8080,8080,false,SIN,Asia Pacific,Singapore,8,0.00
8.219.215.214,2082,2082,false,SIN,Asia Pacific,Singapore,8,0.00
47.245.118.197,80,80,false,SIN,Asia Pacific,Singapore,8,0.00
8.219.123.244,80,80,false,SIN,Asia Pacific,Singapore,8,0.00
8.222.254.91,2095,2095,false,SIN,Asia Pacific,Singapore,8,0.00
47.236.73.123,2052,2052,false,SIN,Asia Pacific,Singapore,8,0.00
8.219.112.75,2086,2086,false,SIN,Asia Pacific,Singapore,8,0.00
8.219.208.69,8080,8080,false,SIN,Asia Pacific,Singapore,8,0.00
8.222.160.176,2052,2052,false,SIN,Asia Pacific,Singapore,8,0.00
47.237.73.230,2052,2052,false,SIN,Asia Pacific,Singapore,8,0.00
8.219.178.225,2082,2082,false,SIN,Asia Pacific,Singapore,8,0.00
47.245.84.124,8880,8880,false,SIN,Asia Pacific,Singapore,9,0.00
8.219.107.199,8880,8880,false,SIN,Asia Pacific,Singapore,9,0.00
8.219.106.15,8880,8880,false,SIN,Asia Pacific,Singapore,9,0.00
8.222.140.185,2095,2095,false,SIN,Asia Pacific,Singapore,9,0.00
8.219.42.72,2082,2082,false,SIN,Asia Pacific,Singapore,9,0.00
8.219.147.58,2086,2086,false,SIN,Asia Pacific,Singapore,9,0.00
47.236.7.206,2082,2082,false,SIN,Asia Pacific,Singapore,9,0.00
8.222.147.203,8080,8080,false,SIN,Asia Pacific,Singapore,9,0.00
47.236.97.58,2086,2086,false,SIN,Asia Pacific,Singapore,9,0.00
8.219.106.15,2082,2082,false,SIN,Asia Pacific,Singapore,9,0.00
8.219.220.88,2087,2087,true,SIN,Asia Pacific,Singapore,9,0.00
8.219.240.160,8443,8443,true,SIN,Asia Pacific,Singapore,9,0.00
8.219.53.142,2095,2095,false,SIN,Asia Pacific,Singapore,9,0.00
8.219.86.200,8880,8880,false,SIN,Asia Pacific,Singapore,9,0.00
8.222.229.22,8880,8880,false,SIN,Asia Pacific,Singapore,9,0.00
